Site;Date de relevé;Energie consommée (kWh);Date;PE(kg);Année;Mois;KWh/Kg
PTWE35;2021-12-26;0.0;2021-12-26;;2021;12;
PTWE42 Andrézieux;2021-12-26;0.0;2021-12-26;;2021;12;
PTWE35;2021-12-27;0.0;2021-12-27;;2021;12;
PTWE42 Andrézieux;2021-12-27;0.0;2021-12-27;;2021;12;
PTWE35;2021-12-28;0.0;2021-12-28;;2021;12;
PTWE42 Andrézieux;2021-12-28;0.0;2021-12-28;;2021;12;
PTWE35;2021-12-29;0.0;2021-12-29;;2021;12;
PTWE42 Andrézieux;2021-12-29;0.0;2021-12-29;;2021;12;
PTWE35;2021-12-30;0.0;2021-12-30;;2021;12;
PTWE42 Andrézieux;2021-12-30;0.0;2021-12-30;;2021;12;
PTWE35;2021-12-31;0.0;2021-12-31;;2021;12;
PTWE42 Andrézieux;2021-12-31;0.0;2021-12-31;;2021;12;
PTWE35;2023-01-01;0.0;2023-01-01;;2023;1;
PTWE42 Andrézieux;2023-01-01;0.0;2023-01-01;;2023;1;
PTWE89;2023-01-01;0.0;2023-01-01;;2023;1;
PTWE35;2023-01-02;2064.0;2023-01-02;;2023;1;
PTWE42 Andrézieux;2023-01-02;571.0;2023-01-02;;2023;1;
PTWE89;2023-01-02;0.0;2023-01-02;;2023;1;
PTWE35;2023-01-03;31629.0;2023-01-03;;2023;1;
PTWE42 Andrézieux;2023-01-03;6705.0;2023-01-03;;2023;1;
PTWE89;2023-01-03;2320.0;2023-01-03;;2023;1;
PTWE35;2023-01-04;27939.0;2023-01-04;9205.634;2023;1;3.03498922507673
PTWE42 Andrézieux;2023-01-04;6203.0;2023-01-04;2258.4;2023;1;2.7466347856889834
PTWE49;;;2023-01-04;3642.7599999999998;2023;1;
PTWE89;2023-01-04;4751.0;2023-01-04;2346.1;2023;1;2.025062870295384
PTWE35;2023-01-05;35864.0;2023-01-05;9021.144;2023;1;3.975548999106987
PTWE42 Andrézieux;2023-01-05;6658.0;2023-01-05;2638.0;2023;1;2.5238817285822592
PTWE49;;;2023-01-05;2170.344;2023;1;
PTWE89;2023-01-05;4979.0;2023-01-05;;2023;1;
PTWE35;2023-01-06;32124.0;2023-01-06;10969.952000000001;2023;1;2.9283628588347512
PTWE42 Andrézieux;2023-01-06;4617.0;2023-01-06;2252.4;2023;1;2.0498135322322857
PTWE49;;;2023-01-06;2803.944;2023;1;
PTWE89;2023-01-06;4992.0;2023-01-06;2865.6;2023;1;1.7420435510887773
PTWE35;2023-01-07;0.0;2023-01-07;;2023;1;
PTWE42 Andrézieux;2023-01-07;0.0;2023-01-07;;2023;1;
PTWE89;2023-01-07;0.0;2023-01-07;;2023;1;
PTWE35;2023-01-08;3315.0;2023-01-08;;2023;1;
PTWE42 Andrézieux;2023-01-08;723.0;2023-01-08;;2023;1;
PTWE89;2023-01-08;0.0;2023-01-08;;2023;1;
PTWE35;2023-01-09;43435.0;2023-01-09;12861.95;2023;1;3.3770151493358314
PTWE42 Andrézieux;2023-01-09;7241.0;2023-01-09;2589.6;2023;1;2.7961847389558234
PTWE49;;;2023-01-09;2803.944;2023;1;
PTWE89;2023-01-09;231.0;2023-01-09;;2023;1;
PTWE35;2023-01-10;42825.0;2023-01-10;11722.13;2023;1;3.6533462775109986
PTWE42 Andrézieux;2023-01-10;4711.0;2023-01-10;2882.4;2023;1;1.6344018873161255
PTWE49;;;2023-01-10;5893.272;2023;1;
PTWE89;2023-01-10;2964.0;2023-01-10;;2023;1;
PTWE35;2023-01-11;41825.0;2023-01-11;13108.94;2023;1;3.1905707097599043
PTWE42 Andrézieux;2023-01-11;6681.0;2023-01-11;2006.0;2023;1;3.330508474576271
PTWE49;;;2023-01-11;6059.68;2023;1;
PTWE89;2023-01-11;4922.0;2023-01-11;;2023;1;
PTWE35;2023-01-12;42229.0;2023-01-12;11861.598;2023;1;3.5601442571228596
PTWE42 Andrézieux;2023-01-12;6366.0;2023-01-12;3216.0;2023;1;1.9794776119402986
PTWE49;;;2023-01-12;6827.92;2023;1;
PTWE89;2023-01-12;4904.0;2023-01-12;;2023;1;
PTWE35;2023-01-13;34760.0;2023-01-13;12558.484;2023;1;2.7678500048254233
PTWE42 Andrézieux;2023-01-13;4256.0;2023-01-13;3527.4;2023;1;1.206554402676192
PTWE49;;;2023-01-13;6523.4400000000005;2023;1;
PTWE89;2023-01-13;4967.0;2023-01-13;613.1;2023;1;8.10145163921057
PTWE35;2023-01-14;0.0;2023-01-14;;2023;1;
PTWE42 Andrézieux;2023-01-14;0.0;2023-01-14;;2023;1;
PTWE89;2023-01-14;0.0;2023-01-14;;2023;1;
PTWE35;2023-01-15;1859.0;2023-01-15;;2023;1;
PTWE42 Andrézieux;2023-01-15;571.0;2023-01-15;;2023;1;
PTWE89;2023-01-15;0.0;2023-01-15;;2023;1;
PTWE35;2023-01-16;47168.0;2023-01-16;15628.398;2023;1;3.018095648703085
PTWE42 Andrézieux;2023-01-16;6075.0;2023-01-16;2586.8;2023;1;2.3484614195144577
PTWE49;;;2023-01-16;6900.96;2023;1;
PTWE89;2023-01-16;4507.0;2023-01-16;234.8;2023;1;19.195059625212945
PTWE35;2023-01-17;44832.0;2023-01-17;12414.39;2023;1;3.611293023660446
PTWE42 Andrézieux;2023-01-17;5480.0;2023-01-17;2576.0;2023;1;2.127329192546584
PTWE49;;;2023-01-17;6209.808;2023;1;
PTWE89;2023-01-17;4968.0;2023-01-17;195.0;2023;1;25.476923076923075
PTWE35;2023-01-18;45947.0;2023-01-18;15465.41;2023;1;2.9709525967950414
PTWE42 Andrézieux;2023-01-18;4582.0;2023-01-18;3078.0;2023;1;1.48862897985705
PTWE49;;;2023-01-18;6385.192;2023;1;
