Site;Année;Mois;Semaine;Machine;Gaz (kWh);PE (kg)
PTWE35;2023.0;3.0;11;M8;0.0;11595.584
PTWE35;2023.0;3.0;11;RM2400;0.0;3787.5
PTWE35;2023.0;3.0;11;RM4500;0.0;6240.96
PTWE35;2023.0;3.0;12;F3B;0.0;1020.8
PTWE35;2023.0;3.0;12;F4B;0.0;4099.7
PTWE35;2023.0;3.0;12;FB;0.0;1475.0
PTWE35;2023.0;3.0;12;M1;0.0;10320.904
PTWE35;2023.0;3.0;12;M2;0.0;11024.64
PTWE35;2023.0;3.0;12;M3;0.0;11935.439999999999
PTWE35;2023.0;3.0;12;M8;0.0;15399.119999999999
PTWE35;2023.0;3.0;12;RM2400;0.0;4507.5
PTWE35;2023.0;3.0;12;RM4500;0.0;5857.28
PTWE35;2023.0;3.0;13;F3B;0.0;1102.85
PTWE35;2023.0;3.0;13;F4B;0.0;3401.4
PTWE35;2023.0;3.0;13;FB;0.0;648.0
PTWE35;2023.0;3.0;13;M1;0.0;8197.04
PTWE35;2023.0;3.0;13;M2;0.0;9504.0
PTWE35;2023.0;3.0;13;M3;0.0;8198.08
PTWE35;2023.0;3.0;13;M8;0.0;10680.648
PTWE35;2023.0;3.0;13;RM2400;0.0;3525.0
PTWE35;2023.0;3.0;13;RM4500;0.0;3576.32
PTWE35;2023.0;4.0;13;F3B;0.0;281.4
PTWE35;2023.0;4.0;13;F4B;0.0;768.7
PTWE35;2023.0;4.0;13;FB;0.0;171.0
PTWE35;2023.0;4.0;13;M1;0.0;2087.36
PTWE35;2023.0;4.0;13;M2;0.0;2661.12
PTWE35;2023.0;4.0;13;M3;0.0;1687.84
PTWE35;2023.0;4.0;13;M8;0.0;2552.44
PTWE35;2023.0;4.0;13;RM2400;0.0;1133.5
PTWE35;2023.0;4.0;13;RM4500;0.0;816.64
PTWE35;2023.0;4.0;14;F3B;0.0;1177.75
PTWE35;2023.0;4.0;14;F4B;0.0;3222.0
PTWE35;2023.0;4.0;14;FB;0.0;753.5
PTWE35;2023.0;4.0;14;M1;0.0;7031.2
PTWE35;2023.0;4.0;14;M2;0.0;7983.36
PTWE35;2023.0;4.0;14;M3;0.0;8077.5199999999995
PTWE35;2023.0;4.0;14;M8;0.0;5783.536
PTWE35;2023.0;4.0;14;RM2400;0.0;3124.5
PTWE35;2023.0;4.0;14;RM4500;0.0;3333.44
PTWE35;2023.0;4.0;15;F3B;0.0;844.85
PTWE35;2023.0;4.0;15;F4B;0.0;3182.0
PTWE35;2023.0;4.0;15;FB;0.0;823.0
PTWE35;2023.0;4.0;15;M1;0.0;6033.64
PTWE35;2023.0;4.0;15;M2;0.0;8490.24
PTWE35;2023.0;4.0;15;M3;0.0;7113.04
PTWE35;2023.0;4.0;15;M8;0.0;7406.256
PTWE35;2023.0;4.0;15;RM2400;0.0;2829.0
PTWE35;2023.0;4.0;15;RM4500;0.0;3984.64
PTWE35;2023.0;4.0;16;F3B;0.0;505.25
PTWE35;2023.0;4.0;16;F4B;0.0;3932.548
PTWE35;2023.0;4.0;16;FB;0.0;56.0
PTWE35;2023.0;4.0;16;M1;0.0;11515.096
PTWE35;2023.0;4.0;16;M2;0.0;13052.16
PTWE35;2023.0;4.0;16;M3;0.0;7715.84
PTWE35;2023.0;4.0;16;M8;0.0;9106.592
PTWE35;2023.0;4.0;16;RM2400;0.0;3176.9
PTWE35;2023.0;4.0;16;RM4500;0.0;7036.48
PTWE35;2023.0;4.0;17;F3B;0.0;839.01
PTWE35;2023.0;4.0;17;F4B;0.0;3836.958
PTWE35;2023.0;4.0;17;M1;0.0;9349.576000000001
PTWE35;2023.0;4.0;17;M2;0.0;6842.88
PTWE35;2023.0;4.0;17;M3;0.0;11212.08
PTWE35;2023.0;4.0;17;M8;0.0;16529.832
PTWE35;2023.0;4.0;17;RM2400;0.0;3096.0
PTWE35;2023.0;4.0;17;RM4500;0.0;7399.04
PTWE35;2023.0;5.0;18;F3B;0.0;561.545
PTWE35;2023.0;5.0;18;F4B;0.0;1934.5
PTWE35;2023.0;5.0;18;FB;0.0;228.0
PTWE35;2023.0;5.0;18;M1;0.0;3267.264
PTWE35;2023.0;5.0;18;M2;0.0;7349.76
PTWE35;2023.0;5.0;18;M3;0.0;6510.240000000001
PTWE35;2023.0;5.0;18;M8;0.0;6005.208
PTWE35;2023.0;5.0;18;RM2400;0.0;1802.6
PTWE35;2023.0;5.0;18;RM4500;0.0;3608.0
PTWE35;2023.0;5.0;19;F3B;0.0;1025.77
PTWE35;2023.0;5.0;19;F4B;0.0;1996.35
PTWE35;2023.0;5.0;19;FB;0.0;606.0
PTWE35;2023.0;5.0;19;M1;0.0;6438.2
PTWE35;2023.0;5.0;19;M2;0.0;9250.56
PTWE35;2023.0;5.0;19;M3;0.0;9162.56
PTWE35;2023.0;5.0;19;M8;0.0;8573.4
PTWE35;2023.0;5.0;19;RM2400;0.0;3581.8
PTWE35;2023.0;5.0;19;RM4500;0.0;3657.2799999999997
PTWE35;2023.0;5.0;20;F3B;0.0;469.67
PTWE35;2023.0;5.0;20;F4B;0.0;2359.2
PTWE35;2023.0;5.0;20;FB;0.0;150.0
PTWE35;2023.0;5.0;20;M1;0.0;6662.56
PTWE35;2023.0;5.0;20;M2;0.0;7349.76
PTWE35;2023.0;5.0;20;M3;0.0;7233.6
PTWE35;2023.0;5.0;20;M8;0.0;6819.031999999999
PTWE35;2023.0;5.0;20;RM2400;0.0;2610.0
PTWE35;2023.0;5.0;20;RM4500;0.0;3065.92
PTWE35;2023.0;5.0;21;F3B;0.0;881.4
PTWE35;2023.0;5.0;21;F4B;0.0;2359.082
PTWE35;2023.0;5.0;21;FB;0.0;308.0
PTWE35;2023.0;5.0;21;M1;0.0;10380.8
PTWE35;2023.0;5.0;21;M2;0.0;11658.24
PTWE35;2023.0;5.0;21;M3;0.0;11091.52
PTWE35;2023.0;5.0;21;M8;0.0;10893.08
PTWE35;2023.0;5.0;21;RM2400;0.0;5205.0
PTWE35;2023.0;5.0;21;RM4500;0.0;4005.76
PTWE35;2023.0;5.0;22;F3B;0.0;409.8
PTWE35;2023.0;5.0;22;F4B;0.0;1052.15
PTWE35;2023.0;5.0;22;FB;0.0;63.0
PTWE35;2023.0;5.0;22;M1;0.0;5142.72
PTWE35;2023.0;5.0;22;M2;0.0;4942.08
PTWE35;2023.0;5.0;22;M3;0.0;4701.84
PTWE35;2023.0;5.0;22;M8;0.0;4758.16
PTWE35;2023.0;5.0;22;RM2400;0.0;2055.0
PTWE35;2023.0;5.0;22;RM4500;0.0;3945.92
PTWE35;2023.0;6.0;22;F3B;0.0;1220.53
PTWE35;2023.0;6.0;22;F4B;0.0;2041.75
PTWE35;2023.0;6.0;22;M1;0.0;5355.0
PTWE35;2023.0;6.0;22;M2;0.0;7223.04
PTWE35;2023.0;6.0;22;M3;0.0;7233.6
PTWE35;2023.0;6.0;22;M8;0.0;8835.2
PTWE35;2023.0;6.0;22;RM2400;0.0;3135.0
PTWE35;2023.0;6.0;22;RM4500;0.0;6899.2
PTWE35;2023.0;6.0;23;F3B;0.0;2656.0
PTWE35;2023.0;6.0;23;F4B;0.0;2869.315
PTWE35;2023.0;6.0;23;FB;0.0;496.0
PTWE35;2023.0;6.0;23;M1;0.0;9563.84
PTWE35;2023.0;6.0;23;M2;0.0;9630.72
PTWE35;2023.0;6.0;23;M3;0.0;9644.8
PTWE35;2023.0;6.0;23;M8;0.0;11842.248
PTWE35;2023.0;6.0;23;RM2400;0.0;3630.0
PTWE35;2023.0;6.0;23;RM4500;0.0;4741.4400000000005
PTWE35;2023.0;6.0;24;F3B;0.0;3347.55
PTWE35;2023.0;6.0;24;F4B;0.0;3662.66
PTWE35;2023.0;6.0;24;FB;0.0;725.0
PTWE35;2023.0;6.0;24;M1;0.0;12090.32
PTWE35;2023.0;6.0;24;M2;0.0;12798.72
PTWE35;2023.0;6.0;24;M3;0.0;12056.0
PTWE35;2023.0;6.0;24;M8;0.0;13260.368
PTWE35;2023.0;6.0;24;RM2400;0.0;4132.5
PTWE35;2023.0;6.0;24;RM4500;0.0;5290.5599999999995
PTWE35;2023.0;6.0;25;F3B;0.0;2230.6
PTWE35;2023.0;6.0;25;F4B;0.0;3592.24
PTWE35;2023.0;6.0;25;FB;0.0;874.0
PTWE35;2023.0;6.0;25;M1;0.0;11467.28
PTWE35;2023.0;6.0;25;M2;0.0;11911.68
PTWE35;2023.0;6.0;25;M3;0.0;11573.76
PTWE35;2023.0;6.0;25;M8;0.0;12226.456
PTWE35;2023.0;6.0;25;RM2400;0.0;4659.0
PTWE35;2023.0;6.0;25;RM4500;0.0;2816.0
PTWE35;2023.0;6.0;26;F3B;0.0;808.75
