Site;Année;Semaine;Mois;Machine;Gaz (kWh);PE (kg)
PTWE35;2023;13;3;M8;0.0;13233.088
PTWE35;2023;13;3;RM2400;0.0;4658.5
PTWE35;2023;13;3;RM4500;0.0;4392.96
PTWE35;2023;14;4;F3B;0.0;1475.7
PTWE35;2023;14;4;F4B;0.0;3965.2000000000003
PTWE35;2023;14;4;FB;0.0;897.5
PTWE35;2023;14;4;M1;0.0;8055.5199999999995
PTWE35;2023;14;4;M2;0.0;10644.48
PTWE35;2023;14;4;M3;0.0;9283.119999999999
PTWE35;2023;14;4;M8;0.0;7584.016
PTWE35;2023;14;4;RM2400;0.0;3856.5
PTWE35;2023;14;4;RM4500;0.0;4565.4400000000005
PTWE35;2023;15;4;F3B;0.0;546.9
PTWE35;2023;15;4;F4B;0.0;2987.5
PTWE35;2023;15;4;FB;0.0;735.0
PTWE35;2023;15;4;M1;0.0;7570.120000000001
PTWE35;2023;15;4;M2;0.0;8363.52
PTWE35;2023;15;4;M3;0.0;7595.28
PTWE35;2023;15;4;M8;0.0;7047.216
PTWE35;2023;15;4;RM2400;0.0;3172.0
PTWE35;2023;15;4;RM4500;0.0;3456.64
PTWE35;2023;16;4;F3B;0.0;523.25
PTWE35;2023;16;4;F4B;0.0;4035.0559999999996
PTWE35;2023;16;4;M1;0.0;10529.296
PTWE35;2023;16;4;M2;0.0;11151.36
PTWE35;2023;16;4;M3;0.0;8559.76
PTWE35;2023;16;4;M8;0.0;9871.664
PTWE35;2023;16;4;RM2400;0.0;2871.9
PTWE35;2023;16;4;RM4500;0.0;7849.6
PTWE35;2023;17;4;F3B;0.0;821.01
PTWE35;2023;17;4;F4B;0.0;3075.75
PTWE35;2023;17;4;M1;0.0;7774.576
PTWE35;2023;17;4;M2;0.0;6209.28
PTWE35;2023;17;4;M3;0.0;8680.32
PTWE35;2023;17;4;M8;0.0;12000.119999999999
PTWE35;2023;17;4;RM2400;0.0;2436.0
PTWE35;2023;17;4;RM4500;0.0;5881.92
PTWE35;2023;18;4;F3B;0.0;901.105
PTWE35;2023;18;4;F4B;0.0;2375.5
PTWE35;2023;18;4;FB;0.0;327.0
PTWE35;2023;18;4;M1;0.0;4523.904
PTWE35;2023;18;4;M2;0.0;9757.439999999999
PTWE35;2023;18;4;M3;0.0;8800.880000000001
PTWE35;2023;18;4;M8;0.0;10078.464
PTWE35;2023;18;4;RM2400;0.0;2219.4
PTWE35;2023;18;4;RM4500;0.0;4424.64
PTWE35;2023;19;5;F3B;0.0;887.0799999999999
PTWE35;2023;19;5;F4B;0.0;2186.85
PTWE35;2023;19;5;FB;0.0;507.0
PTWE35;2023;19;5;M1;0.0;7679.0
PTWE35;2023;19;5;M2;0.0;9250.56
PTWE35;2023;19;5;M3;0.0;9403.68
PTWE35;2023;19;5;M8;0.0;8931.824
PTWE35;2023;19;5;RM2400;0.0;3930.0
PTWE35;2023;19;5;RM4500;0.0;4473.92
PTWE35;2023;20;5;F3B;0.0;410.20000000000005
PTWE35;2023;20;5;F4B;0.0;1953.3999999999999
PTWE35;2023;20;5;FB;0.0;210.0
PTWE35;2023;20;5;M1;0.0;5819.36
PTWE35;2023;20;5;M2;0.0;7223.04
PTWE35;2023;20;5;M3;0.0;6751.36
PTWE35;2023;20;5;M8;0.0;6870.952
PTWE35;2023;20;5;RM2400;0.0;2880.0
PTWE35;2023;20;5;RM4500;0.0;1957.12
PTWE35;2023;21;5;F3B;0.0;885.65
PTWE35;2023;21;5;F4B;0.0;2659.532
PTWE35;2023;21;5;FB;0.0;311.0
PTWE35;2023;21;5;M1;0.0;11151.84
PTWE35;2023;21;5;M2;0.0;11911.68
PTWE35;2023;21;5;M3;0.0;11453.2
PTWE35;2023;21;5;M8;0.0;11316.36
PTWE35;2023;21;5;RM2400;0.0;5295.0
PTWE35;2023;21;5;RM4500;0.0;4977.28
PTWE35;2023;22;5;F3B;0.0;1484.6799999999998
PTWE35;2023;22;5;F4B;0.0;2567.75
PTWE35;2023;22;5;M1;0.0;8072.44
PTWE35;2023;22;5;M2;0.0;9630.72
PTWE35;2023;22;5;M3;0.0;9524.24
PTWE35;2023;22;5;M8;0.0;11009.68
