Site;Machine;Date;PE (kg)
PTWE35;F3B;2023-09-19;159.25
PTWE35;F3B;2023-09-20;159.25
PTWE35;F3B;2023-09-21;259.5
PTWE35;F3B;2023-09-22;35.0
PTWE35;F3B;2023-11-02;4.2
PTWE35;F3B;2023-11-07;215.35
PTWE35;F3B;2023-11-08;384.35
PTWE35;F3B;2023-11-09;190.45
PTWE35;F3B;2023-11-10;382.95
PTWE35;F3B;2023-11-13;327.25
PTWE35;F3B;2023-11-14;376.75
PTWE35;F3B;2023-11-15;340.0
PTWE35;F3B;2023-11-16;338.25
PTWE35;F3B;2023-11-17;358.75
PTWE35;F3B;2023-11-21;373.8
PTWE35;F3B;2023-11-22;503.55
PTWE35;F3B;2023-11-23;367.5
PTWE35;F3B;2023-11-24;629.25
PTWE35;F3B;2023-11-27;444.25
PTWE35;F3B;2023-11-28;426.6
PTWE35;F3B;2023-11-29;733.5
PTWE35;F3B;2023-11-30;499.4
PTWE35;F3B;2023-12-01;499.4
PTWE35;F3B;2023-12-02;405.8
PTWE35;F3B;2023-12-05;239.55
PTWE35;F3B;2023-12-06;243.55
PTWE35;F3B;2023-12-07;378.9
PTWE35;F3B;2023-12-08;378.9
PTWE35;F3B;2023-12-11;218.5
PTWE35;F3B;2023-12-12;445.45
PTWE35;F3B;2023-12-13;293.95
PTWE35;F3B;2023-12-14;293.95
PTWE35;F3B;2023-12-15;270.0
PTWE35;F3B;2023-12-18;377.7
PTWE35;F3B;2023-12-19;293.95
PTWE35;F3B;2023-12-20;142.45
PTWE35;F3B;2023-12-21;106.25
PTWE35;F3B;2024-01-04;224.5
PTWE35;F3B;2024-01-05;304.85
PTWE35;F3B;2024-01-06;29.7
PTWE35;F3B;2024-01-09;204.25
PTWE35;F3B;2024-01-10;309.0
PTWE35;F3B;2024-01-11;154.5
PTWE35;F3B;2024-01-12;290.9
PTWE35;F3B;2024-01-15;145.45
PTWE35;F3B;2024-01-16;208.0
PTWE35;F3B;2024-01-18;118.0
PTWE35;F3B;2024-01-19;120.75
PTWE35;F3B;2024-01-24;193.05
PTWE35;F3B;2024-01-25;128.7
PTWE35;F3B;2024-01-26;290.95
PTWE35;F3B;2024-01-30;132.25
PTWE35;F3B;2024-01-31;132.75
PTWE35;F3B;2024-02-01;109.8
PTWE35;F3B;2024-02-02;278.05
PTWE35;F3B;2024-02-03;129.2
PTWE35;F3B;2024-02-06;284.15
PTWE35;F3B;2024-02-07;310.83
PTWE35;F3B;2024-02-09;620.26
PTWE35;F3B;2024-02-13;48.0
PTWE35;F3B;2024-02-14;100.0
PTWE35;F3B;2024-02-15;108.0
PTWE35;F3B;2024-02-16;140.0
PTWE35;F3B;2024-02-20;68.0
PTWE35;F3B;2024-02-21;232.0
PTWE35;F3B;2024-02-22;96.0
PTWE35;F3B;2024-02-23;88.0
PTWE35;F3B;2024-02-27;39.8
PTWE35;F3B;2024-02-28;95.4
PTWE35;F3B;2024-02-29;360.6
PTWE35;F3B;2024-03-04;212.4
PTWE35;F3B;2024-03-05;153.8
PTWE35;F3B;2024-03-06;46.25
PTWE35;F3B;2024-03-07;140.7
PTWE35;F3B;2024-03-11;213.45
PTWE35;F3B;2024-03-12;353.55
PTWE35;F3B;2024-03-13;323.5
PTWE35;F3B;2024-03-14;270.5
PTWE35;F3B;2024-03-15;397.3
PTWE35;F3B;2024-03-18;387.7
PTWE35;F3B;2024-03-19;292.75
PTWE35;F3B;2024-03-20;310.8
PTWE35;F3B;2024-03-21;312.6
PTWE35;F3B;2024-03-22;312.6
PTWE35;F3B;2024-03-25;156.3
PTWE35;F3B;2024-03-26;181.38
PTWE35;F3B;2024-03-27;252.8
PTWE35;F3B;2024-03-28;342.4
PTWE35;F3B;2024-03-29;138.6
PTWE35;F3B;2024-04-02;115.5
PTWE35;F3B;2024-04-03;155.0
PTWE35;F3B;2024-04-04;161.4
PTWE35;F3B;2024-04-05;161.4
PTWE35;F3B;2024-04-06;123.6
PTWE35;F3B;2024-04-09;156.6
PTWE35;F3B;2024-04-10;172.8
PTWE35;F3B;2024-04-11;172.8
PTWE35;F3B;2024-04-12;172.8
PTWE35;F3B;2024-04-15;115.2
PTWE35;F3B;2024-04-16;88.275
PTWE35;F3B;2024-04-25;37.9
PTWE35;F3B;2024-04-26;129.6
PTWE35;F3B;2024-04-29;150.25
PTWE35;F3B;2024-04-30;144.2
PTWE35;F3B;2024-05-03;33.1
PTWE35;F3B;2024-05-07;288.45
PTWE35;F3B;2024-05-13;50.4
PTWE35;F3B;2024-05-14;358.81
PTWE35;F3B;2024-05-15;597.28
PTWE35;F3B;2024-05-16;183.4
PTWE35;F3B;2024-05-17;280.64
PTWE35;F3B;2024-05-20;316.24
